"pollinator","full_visits","serp_visits","nonserp_visits","full_degree","serp_degree","nonserp_degree","full_specialization","serp_specialization","nonserp_specialization","network_name"
"Heliolonche_modiella",9,9,0,1,1,0,"specialist","specialist","generalist","Bertha_2023_spring"
"Helithodes_dimutiva",19,17,2,6,4,2,"generalist","generalist","generalist","Bertha_2023_spring"
"Junonia_grisea",5,5,0,2,2,0,"generalist","generalist","generalist","Bertha_2023_spring"
"Listrus_sp._1",42,42,0,7,7,0,"generalist","generalist","generalist","Bertha_2023_spring"
"Lycaenidae_sp.",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2023_spring"
"Malachius_sp.",2,2,0,2,2,0,"generalist","generalist","generalist","Bertha_2023_spring"
"Mordellidae",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2023_spring"
"Muscidae",2,1,1,2,1,1,"generalist","specialist","specialist","Bertha_2023_spring"
"Nomada_hesperia",5,4,1,3,2,1,"generalist","generalist","specialist","Bertha_2023_spring"
"Nomada-mimic_Syrphidae",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2023_spring"
"Osmia_nemoris",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2023_spring"
"Osmia_sanctaerosae",12,8,4,4,3,1,"generalist","generalist","specialist","Bertha_2023_spring"
"Osmia_sp.",2,1,1,2,1,1,"generalist","specialist","specialist","Bertha_2023_spring"
"Panurginus_sp.",6,6,0,3,3,0,"generalist","generalist","generalist","Bertha_2023_spring"
"Scaeva_affinis",15,1,14,3,1,2,"generalist","specialist","generalist","Bertha_2023_spring"
"silver_moth_Lepidoptera",2,2,0,2,2,0,"generalist","generalist","generalist","Bertha_2023_spring"
"Sphaerophoria_sp.",3,3,0,2,2,0,"generalist","generalist","generalist","Bertha_2023_spring"
"Sphex_sp.",2,2,0,2,2,0,"generalist","generalist","generalist","Bertha_2023_spring"
"Syrphidae",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2023_spring"
"Tachnidae",2,2,0,1,1,0,"specialist","specialist","generalist","Bertha_2023_spring"
"Vanessa_cardui",1,0,1,1,0,1,"specialist","generalist","specialist","Bertha_2023_spring"
"Xylocopa_sonorina",4,4,0,2,2,0,"generalist","generalist","generalist","Bertha_2023_spring"
"Xylocopa_sp.",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2023_spring"
"Xylocopa_tabaniformis",5,5,0,1,1,0,"specialist","specialist","generalist","Bertha_2023_spring"
"Anastrangalia_laetifca",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2023_summer"
"Anthrenus_sp.",5,5,0,1,1,0,"specialist","specialist","generalist","Bertha_2023_summer"
"Apis_mellifera",82,17,65,5,3,2,"generalist","generalist","generalist","Bertha_2023_summer"
"Ashmeadiella_aridula_astragali",2,1,1,2,1,1,"generalist","specialist","specialist","Bertha_2023_summer"
"Autographa_californica",2,1,1,2,1,1,"generalist","specialist","specialist","Bertha_2023_summer"
"Bombus_californicus",21,18,3,6,5,1,"generalist","generalist","specialist","Bertha_2023_summer"
"Bombus_crotchii",75,4,71,4,2,2,"generalist","generalist","generalist","Bertha_2023_summer"
"Bombus_sp.",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2023_summer"
"Bombus_vosnesenskii",400,83,317,8,6,2,"generalist","generalist","generalist","Bertha_2023_summer"
"Bombus-melanopygus",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2023_summer"
"Braconidae",7,6,1,5,4,1,"generalist","generalist","specialist","Bertha_2023_summer"
"Buprestidae",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2023_summer"
"Ceratina_punctigena",1,0,1,1,0,1,"specialist","generalist","specialist","Bertha_2023_summer"
"Coenonympha_californica",1,0,1,1,0,1,"specialist","generalist","specialist","Bertha_2023_summer"
"Colias_eurytheme",15,4,11,2,1,1,"generalist","specialist","specialist","Bertha_2023_summer"
"Curculionidae",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2023_summer"
"Dianthidium_dubium",4,4,0,1,1,0,"specialist","specialist","generalist","Bertha_2023_summer"
"Epicauta_puncticollis",4,4,0,2,2,0,"generalist","generalist","generalist","Bertha_2023_summer"
"Eristalis_stipador",11,6,5,2,1,1,"generalist","specialist","specialist","Bertha_2023_summer"
"Erynnis_tristus",6,5,1,3,2,1,"generalist","generalist","specialist","Bertha_2023_summer"
"Euodyneras_hidalgo",12,12,0,2,2,0,"generalist","generalist","generalist","Bertha_2023_summer"
"gray_Bombyliidae",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2023_summer"
"Halictidae",4,4,0,3,3,0,"generalist","generalist","generalist","Bertha_2023_summer"
"Halictus_farinosus",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2023_summer"
"Halictus_ligatus",35,31,4,3,2,1,"generalist","generalist","specialist","Bertha_2023_summer"
"Halictus_tripartitus",8,7,1,4,3,1,"generalist","generalist","specialist","Bertha_2023_summer"
"Heliolonche_modicella",2,2,0,1,1,0,"specialist","specialist","generalist","Bertha_2023_summer"
"Heliopetes_ericetorum",8,2,6,2,1,1,"generalist","specialist","specialist","Bertha_2023_summer"
"Heliothis_phloxiphaga",5,3,2,2,1,1,"generalist","specialist","specialist","Bertha_2023_summer"
"Heliothodes_diminutivus",15,15,0,5,5,0,"generalist","generalist","generalist","Bertha_2023_summer"
"Hippodamia_convergens",1,0,1,1,0,1,"specialist","generalist","specialist","Bertha_2023_summer"
"Icaricia_acmon",4,0,4,1,0,1,"specialist","generalist","specialist","Bertha_2023_summer"
"Junonia_grisea",1,0,1,1,0,1,"specialist","generalist","specialist","Bertha_2023_summer"
"Lasioglossum_incompletum",50,43,7,6,5,1,"generalist","generalist","specialist","Bertha_2023_summer"
"Megachile_apicalis",6,1,5,2,1,1,"generalist","specialist","specialist","Bertha_2023_summer"
"Megachile-mimic_Syrphidae",2,0,2,1,0,1,"specialist","generalist","specialist","Bertha_2023_summer"
"Melissodes_lupina",32,27,5,6,4,2,"generalist","generalist","generalist","Bertha_2023_summer"
"Nemognatha_scutellaris",6,5,1,2,1,1,"generalist","specialist","specialist","Bertha_2023_summer"
"Panurginus_sp.",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2023_summer"
"Polistes_aurifer",5,4,1,3,2,1,"generalist","generalist","specialist","Bertha_2023_summer"
"silver_moth_Lepidoptera",2,2,0,1,1,0,"specialist","specialist","generalist","Bertha_2023_summer"
"Strymon_melinus",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2023_summer"
"Tachinidae",5,5,0,1,1,0,"specialist","specialist","generalist","Bertha_2023_summer"
"Triepeolus_utahensis",2,2,0,1,1,0,"specialist","specialist","generalist","Bertha_2023_summer"
"Villa_sp.",2,1,1,2,1,1,"generalist","specialist","specialist","Bertha_2023_summer"
"white_moth_Lepidoptera",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2023_summer"
"Agapostemon_subtilior",1,0,1,1,0,1,"specialist","generalist","specialist","Bertha_2024_summer"
"Anthrenus_sp.",16,16,0,1,1,0,"specialist","specialist","generalist","Bertha_2024_summer"
"Apis_mellifera",20,16,4,4,3,1,"generalist","generalist","specialist","Bertha_2024_summer"
"Asilidae",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2024_summer"
"BF1_Diptera",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2024_summer"
"Bombus_crotchii",2,0,2,1,0,1,"specialist","generalist","specialist","Bertha_2024_summer"
"Bombus_vosnesenskii",5,5,0,2,2,0,"generalist","generalist","generalist","Bertha_2024_summer"
"Danaus_plexippus",4,4,0,1,1,0,"specialist","specialist","generalist","Bertha_2024_summer"
"Dianthidium_dubium",5,5,0,1,1,0,"specialist","specialist","generalist","Bertha_2024_summer"
"Dianthidium-mimic_Syprhid",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2024_summer"
"Euodyneras_hidalgo",13,10,3,3,2,1,"generalist","generalist","specialist","Bertha_2024_summer"
"Eupeodes_fumipennis",9,9,0,1,1,0,"specialist","specialist","generalist","Bertha_2024_summer"
"Halictidae",2,1,1,2,1,1,"generalist","specialist","specialist","Bertha_2024_summer"
"Halictus_ligatus",27,14,13,3,2,1,"generalist","generalist","specialist","Bertha_2024_summer"
"Halictus_tripartitus",6,0,6,1,0,1,"specialist","generalist","specialist","Bertha_2024_summer"
"Junonia_grisea",3,3,0,1,1,0,"specialist","specialist","generalist","Bertha_2024_summer"
"Lasioglossum_incompletum",9,8,1,3,2,1,"generalist","generalist","specialist","Bertha_2024_summer"
"Lasioglossum_titusi",3,3,0,3,3,0,"generalist","generalist","generalist","Bertha_2024_summer"
"Listrus_sp.",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2024_summer"
"Megachile_apicalis",21,9,12,3,2,1,"generalist","generalist","specialist","Bertha_2024_summer"
"Melissodes_lupina",20,13,7,3,2,1,"generalist","generalist","specialist","Bertha_2024_summer"
"Melissodes_robustior",4,1,3,2,1,1,"generalist","specialist","specialist","Bertha_2024_summer"
"Mordellidae",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2024_summer"
"Nomada_vegana",3,3,0,1,1,0,"specialist","specialist","generalist","Bertha_2024_summer"
"Polistes_aurifer",12,12,0,1,1,0,"specialist","specialist","generalist","Bertha_2024_summer"
"red_Pterophoridae",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2024_summer"
"Sphex_ashmeadi",7,7,0,1,1,0,"specialist","specialist","generalist","Bertha_2024_summer"
"Sphex_ichneumoneus",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2024_summer"
"Sphex_sp.",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2024_summer"
"Villa_sp.",6,6,0,2,2,0,"generalist","generalist","generalist","Bertha_2024_summer"
"Xeromelecta_californica",1,0,1,1,0,1,"specialist","generalist","specialist","Bertha_2024_summer"
"Xylocopa_sp.",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2024_summer"
"Andrena_dissona",1,1,0,1,1,0,"specialist","specialist","generalist","Coyote_2024_spring"
"Andrena_pallidifovea",1,1,0,1,1,0,"specialist","specialist","generalist","Coyote_2024_spring"
"Andrena_pensilis",1,1,0,1,1,0,"specialist","specialist","generalist","Coyote_2024_spring"
"Andrena_subchalybea",3,2,1,2,1,1,"generalist","specialist","specialist","Coyote_2024_spring"
"Anthophora_crotchii",1,0,1,1,0,1,"specialist","generalist","specialist","Coyote_2024_spring"
"Anthrenus_sp.",1,1,0,1,1,0,"specialist","specialist","generalist","Coyote_2024_spring"
"Apis_mellifera",161,1,160,2,1,1,"generalist","specialist","specialist","Coyote_2024_spring"
"BF1_Diptera",5,5,0,2,2,0,"generalist","generalist","generalist","Coyote_2024_spring"
"Bombus_californicus",10,7,3,3,2,1,"generalist","generalist","specialist","Coyote_2024_spring"
"Bombus_crotchii",1,0,1,1,0,1,"specialist","generalist","specialist","Coyote_2024_spring"
"Bombus_melanopygus",184,0,184,1,0,1,"specialist","generalist","specialist","Coyote_2024_spring"
"Bombus_vosnesenskii",91,10,81,4,3,1,"generalist","generalist","specialist","Coyote_2024_spring"
"Calypte_anna",1,1,0,1,1,0,"specialist","specialist","generalist","Coyote_2024_spring"
"Coenonympha_californica",7,0,7,1,0,1,"specialist","generalist","specialist","Coyote_2024_spring"
"Eucera_actuosa",22,2,20,2,1,1,"generalist","specialist","specialist","Coyote_2024_spring"
"Euopeodes_fumipennis",1,0,1,1,0,1,"specialist","generalist","specialist","Coyote_2024_spring"
"Heliolonche_modiella",1,1,0,1,1,0,"specialist","specialist","generalist","Coyote_2024_spring"
"Helithodes_dimutiva",3,3,0,2,2,0,"generalist","generalist","generalist","Coyote_2024_spring"
"Listrus_sp._1",11,11,0,4,4,0,"generalist","generalist","generalist","Coyote_2024_spring"
"Malachius_sp.",2,2,0,1,1,0,"specialist","specialist","generalist","Coyote_2024_spring"
"Panurginus_sp.",3,3,0,1,1,0,"specialist","specialist","generalist","Coyote_2024_spring"
"Polistes_aurifer",3,2,1,3,2,1,"generalist","generalist","specialist","Coyote_2024_spring"
"red_Pterophoridae",1,1,0,1,1,0,"specialist","specialist","generalist","Coyote_2024_spring"
"Scaeva_affinis",2,1,1,2,1,1,"generalist","specialist","specialist","Coyote_2024_spring"
"Silvius_gigantulus",1,1,0,1,1,0,"specialist","specialist","generalist","Coyote_2024_spring"
"Sphaerophoria_sp.",2,0,2,1,0,1,"specialist","generalist","specialist","Coyote_2024_spring"
"white_moth_Lepidoptera",1,1,0,1,1,0,"specialist","specialist","generalist","Coyote_2024_spring"
"Anthophora_californica",1,0,1,1,0,1,"specialist","generalist","specialist","Far_Gate_2022_spring"
"Apis_mellifera",107,1,106,2,1,1,"generalist","specialist","specialist","Far_Gate_2022_spring"
"Bombus_crotchii",4,4,0,2,2,0,"generalist","generalist","generalist","Far_Gate_2022_spring"
"Bombus_vosnesenskii",42,42,0,4,4,0,"generalist","generalist","generalist","Far_Gate_2022_spring"
"Coenonympha_californica",1,0,1,1,0,1,"specialist","generalist","specialist","Far_Gate_2022_spring"
"Colias_eurytheme",3,0,3,1,0,1,"specialist","generalist","specialist","Far_Gate_2022_spring"
"Eucera_actuosa",4,1,3,3,1,2,"generalist","specialist","generalist","Far_Gate_2022_spring"
"Euopeodes_fumipennis",2,0,2,2,0,2,"generalist","generalist","generalist","Far_Gate_2022_spring"
"Hippodamia_convergens",1,1,0,1,1,0,"specialist","specialist","generalist","Far_Gate_2022_spring"
"Junonia_grisea",1,0,1,1,0,1,"specialist","generalist","specialist","Far_Gate_2022_spring"
"Osmia_cara",2,2,0,1,1,0,"specialist","specialist","generalist","Far_Gate_2022_spring"
"Osmia_sp.",2,2,0,1,1,0,"specialist","specialist","generalist","Far_Gate_2022_spring"
"Scaeva_affinis",15,0,15,2,0,2,"generalist","generalist","generalist","Far_Gate_2022_spring"
"Acmaeodera_sp.",2,2,0,1,1,0,"specialist","specialist","generalist","Felch_2024_spring"
"Adela_eldorada",2,2,0,1,1,0,"specialist","specialist","generalist","Felch_2024_spring"
"Adela_trigrapha",4,4,0,1,1,0,"specialist","specialist","generalist","Felch_2024_spring"
"Andrena_pallidifovea",3,1,2,2,1,1,"generalist","specialist","specialist","Felch_2024_spring"
"Andrena_pensilis",2,1,1,2,1,1,"generalist","specialist","specialist","Felch_2024_spring"
"Andrena_subchalybea",1,1,0,1,1,0,"specialist","specialist","generalist","Felch_2024_spring"
"Anthophora_crotchii",1,0,1,1,0,1,"specialist","generalist","specialist","Felch_2024_spring"
"Anthrenus_sp.",2,2,0,2,2,0,"generalist","generalist","generalist","Felch_2024_spring"
"Apis_mellifera",35,8,27,2,1,1,"generalist","specialist","specialist","Felch_2024_spring"
"BF1_Diptera",9,9,0,1,1,0,"specialist","specialist","generalist","Felch_2024_spring"
"Bombus_californicus",1,1,0,1,1,0,"specialist","specialist","generalist","Felch_2024_spring"
"Bombus_melanopygus",17,1,16,2,1,1,"generalist","specialist","specialist","Felch_2024_spring"
"Bombus_vosnesenskii",24,8,16,2,1,1,"generalist","specialist","specialist","Felch_2024_spring"
"Bombylius_major",3,2,1,2,1,1,"generalist","specialist","specialist","Felch_2024_spring"
"Diadasia_nigrifrons",1,1,0,1,1,0,"specialist","specialist","generalist","Felch_2024_spring"
"Elateridae",1,1,0,1,1,0,"specialist","specialist","generalist","Felch_2024_spring"
"Erynnis_propertius",1,0,1,1,0,1,"specialist","generalist","specialist","Felch_2024_spring"
"Eucera_actuosa",11,2,9,3,1,2,"generalist","specialist","generalist","Felch_2024_spring"
"Euopeodes_fumipennis",1,1,0,1,1,0,"specialist","specialist","generalist","Felch_2024_spring"
"Glaucophysche_lygdamus",4,0,4,2,0,2,"generalist","generalist","generalist","Felch_2024_spring"
"Listrus_sp._1",23,23,0,3,3,0,"generalist","generalist","generalist","Felch_2024_spring"
"Malachius_sp.",5,5,0,1,1,0,"specialist","specialist","generalist","Felch_2024_spring"
"Muscidae",4,3,1,2,1,1,"generalist","specialist","specialist","Felch_2024_spring"
"Osmia_cara",1,1,0,1,1,0,"specialist","specialist","generalist","Felch_2024_spring"
"Osmia_sp.",1,1,0,1,1,0,"specialist","specialist","generalist","Felch_2024_spring"
"Panurginus_sp.",2,1,1,2,1,1,"generalist","specialist","specialist","Felch_2024_spring"
"Polistes_aurifer",2,1,1,2,1,1,"generalist","specialist","specialist","Felch_2024_spring"
"Prosperpinus_clarkiae",1,1,0,1,1,0,"specialist","specialist","generalist","Felch_2024_spring"
"Sphaerophoria_sp.",1,0,1,1,0,1,"specialist","generalist","specialist","Felch_2024_spring"
"Adela_eldorada",25,25,0,4,4,0,"generalist","generalist","generalist","Goatgrass_2022_spring"
"Adela_flammeusella",1,1,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2022_spring"
"Adela_trigrapha",19,19,0,3,3,0,"generalist","generalist","generalist","Goatgrass_2022_spring"
"Andrena_baeriae",10,10,0,3,3,0,"generalist","generalist","generalist","Goatgrass_2022_spring"
"Andrena_dissona",6,6,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2022_spring"
"Andrena_duboisi",1,1,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2022_spring"
"Andrena_pensilis",19,19,0,2,2,0,"generalist","generalist","generalist","Goatgrass_2022_spring"
"Andrena_sp.",22,22,0,4,4,0,"generalist","generalist","generalist","Goatgrass_2022_spring"
"Andrena_subchalybea",58,58,0,7,7,0,"generalist","generalist","generalist","Goatgrass_2022_spring"
"Anthophora_californica",4,0,4,1,0,1,"specialist","generalist","specialist","Goatgrass_2022_spring"
"Anthrenus_sp.",3,3,0,2,2,0,"generalist","generalist","generalist","Goatgrass_2022_spring"
"Apis_mellifera",38,1,37,2,1,1,"generalist","specialist","specialist","Goatgrass_2022_spring"
"BF1_Diptera",2,2,0,2,2,0,"generalist","generalist","generalist","Goatgrass_2022_spring"
"Bombus_californicus",2,2,0,2,2,0,"generalist","generalist","generalist","Goatgrass_2022_spring"
"Bombus_melanopygus",31,0,31,1,0,1,"specialist","generalist","specialist","Goatgrass_2022_spring"
"Bombus_vosnesenskii",27,8,19,7,6,1,"generalist","generalist","specialist","Goatgrass_2022_spring"
"Bombylius_major",6,3,3,4,2,2,"generalist","generalist","generalist","Goatgrass_2022_spring"
"Coenonympha_californica",1,1,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2022_spring"
"Colias_eurytheme",2,2,0,2,2,0,"generalist","generalist","generalist","Goatgrass_2022_spring"
"Conophorus_fenestratus",22,22,0,2,2,0,"generalist","generalist","generalist","Goatgrass_2022_spring"
"Cylindromyia sp.",1,1,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2022_spring"
"Cyrtopogon_sp.",3,3,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2022_spring"
"Diadasia_nigrifrons",3,2,1,2,1,1,"generalist","specialist","specialist","Goatgrass_2022_spring"
"Elateridae",10,10,0,3,3,0,"generalist","generalist","generalist","Goatgrass_2022_spring"
"Eucera_actuosa",43,16,27,7,5,2,"generalist","generalist","generalist","Goatgrass_2022_spring"
"Eucera_frater_albopilosa",6,2,4,4,2,2,"generalist","generalist","generalist","Goatgrass_2022_spring"
"Eucera_sp.",1,1,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2022_spring"
"Euopeodes_fumipennis",16,16,0,6,6,0,"generalist","generalist","generalist","Goatgrass_2022_spring"
"Heliolonche_modiella",7,7,0,2,2,0,"generalist","generalist","generalist","Goatgrass_2022_spring"
"Helithodes_dimutiva",3,2,1,2,1,1,"generalist","specialist","specialist","Goatgrass_2022_spring"
"Hippodamia_convergens",4,3,1,4,3,1,"generalist","generalist","specialist","Goatgrass_2022_spring"
"Junonia_grisea",19,19,0,9,9,0,"generalist","generalist","generalist","Goatgrass_2022_spring"
"Listrus_sp._1",73,73,0,8,8,0,"generalist","generalist","generalist","Goatgrass_2022_spring"
"Malachius_sp.",1,1,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2022_spring"
"Mordellidae",1,1,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2022_spring"
"Muscidae",3,3,0,2,2,0,"generalist","generalist","generalist","Goatgrass_2022_spring"
"Nomada_hesperia",5,5,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2022_spring"
"Osmia_cara",3,1,2,2,1,1,"generalist","specialist","specialist","Goatgrass_2022_spring"
"Osmia_sp.",6,4,2,4,3,1,"generalist","generalist","specialist","Goatgrass_2022_spring"
"Panurginus_sp.",2,2,0,2,2,0,"generalist","generalist","generalist","Goatgrass_2022_spring"
"Polistes_aurifer",3,1,2,2,1,1,"generalist","specialist","specialist","Goatgrass_2022_spring"
"Scaeva_affinis",29,21,8,11,9,2,"generalist","generalist","generalist","Goatgrass_2022_spring"
"Scathophaga_stercoraria",1,0,1,1,0,1,"specialist","generalist","specialist","Goatgrass_2022_spring"
"silver_moth_Lepidoptera",2,2,0,2,2,0,"generalist","generalist","generalist","Goatgrass_2022_spring"
"Tetraopes_basilus",1,1,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2022_spring"
"Acmaeodera_sp.",8,8,0,4,4,0,"generalist","generalist","generalist","Goatgrass_2023_spring"
"Adela_eldorada",1,1,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2023_spring"
"Agapostemon_subtilior",1,1,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2023_spring"
"Andrena_pensilis",2,2,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2023_spring"
"Andrena_plana",1,1,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2023_spring"
"Andrena_sp.",2,2,0,2,2,0,"generalist","generalist","generalist","Goatgrass_2023_spring"
"Andrena_subchalybea",55,55,0,3,3,0,"generalist","generalist","generalist","Goatgrass_2023_spring"
"Anthidium_illustre",2,2,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2023_spring"
"Anthophora_californica",3,2,1,3,2,1,"generalist","generalist","specialist","Goatgrass_2023_spring"
"Apis_mellifera",20,6,14,3,2,1,"generalist","generalist","specialist","Goatgrass_2023_spring"
"Asilidae",2,2,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2023_spring"
"BF1_Diptera",4,4,0,2,2,0,"generalist","generalist","generalist","Goatgrass_2023_spring"
"Bombus_californicus",1,1,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2023_spring"
"Bombus_melanopygus",19,2,17,3,2,1,"generalist","generalist","specialist","Goatgrass_2023_spring"
"Bombus_vosnesenskii",10,3,7,3,2,1,"generalist","generalist","specialist","Goatgrass_2023_spring"
"Bombylius_major",11,11,0,2,2,0,"generalist","generalist","generalist","Goatgrass_2023_spring"
"Chrysis_angolensis",1,1,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2023_spring"
"Diabrotica_undecimpunctata",1,1,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2023_spring"
"Elateridae",1,1,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2023_spring"
"Eristalis_hirta",1,1,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2023_spring"
"Eucera_actuosa",17,6,11,4,3,1,"generalist","generalist","specialist","Goatgrass_2023_spring"
"Halictus_tripartitus",1,1,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2023_spring"
"Heliolonche_modiella",5,5,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2023_spring"
"Helithodes_dimutiva",12,12,0,6,6,0,"generalist","generalist","generalist","Goatgrass_2023_spring"
"Listrus_sp._1",39,39,0,6,6,0,"generalist","generalist","generalist","Goatgrass_2023_spring"
"Malachius_sp.",4,4,0,2,2,0,"generalist","generalist","generalist","Goatgrass_2023_spring"
"Nomada_hesperia",3,3,0,2,2,0,"generalist","generalist","generalist","Goatgrass_2023_spring"
"Nomada-mimic_Syrphidae",3,3,0,2,2,0,"generalist","generalist","generalist","Goatgrass_2023_spring"
"Osmia_atrocyanea",2,0,2,2,0,2,"generalist","generalist","generalist","Goatgrass_2023_spring"
"Osmia_sanctaerosae",5,0,5,1,0,1,"specialist","generalist","specialist","Goatgrass_2023_spring"
"Panurginus_sp.",7,7,0,4,4,0,"generalist","generalist","generalist","Goatgrass_2023_spring"
"Scaeva_affinis",5,3,2,3,2,1,"generalist","generalist","specialist","Goatgrass_2023_spring"
"silver_moth_Lepidoptera",2,2,0,2,2,0,"generalist","generalist","generalist","Goatgrass_2023_spring"
"Sphaerophoria_sp.",1,1,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2023_spring"
"Sphex_sp.",1,1,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2023_spring"
"Strymon_melinus",1,1,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2023_spring"
"Syrphidae",2,2,0,2,2,0,"generalist","generalist","generalist","Goatgrass_2023_spring"
"Tachnidae",2,2,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2023_spring"
"Tetraopes_basilus",1,1,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2023_spring"
"Thysanoptera",10,10,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2023_spring"
"Acmaeodera_sp.",1,1,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2024_spring"
"Adela_eldorada",1,1,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2024_spring"
"Andrena_dissona",4,4,0,2,2,0,"generalist","generalist","generalist","Goatgrass_2024_spring"
"Andrena_pallidifovea",5,5,0,2,2,0,"generalist","generalist","generalist","Goatgrass_2024_spring"
"Andrena_pensilis",22,22,0,2,2,0,"generalist","generalist","generalist","Goatgrass_2024_spring"
"Andrena_sp.",5,5,0,2,2,0,"generalist","generalist","generalist","Goatgrass_2024_spring"
"Andrena_subchalybea",36,36,0,2,2,0,"generalist","generalist","generalist","Goatgrass_2024_spring"
"Anthophora_californica",1,1,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2024_spring"
"Anthrenus_sp.",2,2,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2024_spring"
"Apis_mellifera",11,5,6,2,1,1,"generalist","specialist","specialist","Goatgrass_2024_spring"
"BF1_Diptera",126,126,0,2,2,0,"generalist","generalist","generalist","Goatgrass_2024_spring"
"BF3_Diptera",1,1,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2024_spring"
"blue_beetle_Coleoptera",2,2,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2024_spring"
"Bombus_californicus",1,1,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2024_spring"
"Bombus_melanopygus",51,1,50,2,1,1,"generalist","specialist","specialist","Goatgrass_2024_spring"
"Bombus_vosnesenskii",27,21,6,4,3,1,"generalist","generalist","specialist","Goatgrass_2024_spring"
"Bombylius_major",39,39,0,3,3,0,"generalist","generalist","generalist","Goatgrass_2024_spring"
"Calypte_anna",2,2,0,2,2,0,"generalist","generalist","generalist","Goatgrass_2024_spring"
"Chrysoperla_sp.",1,1,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2024_spring"
"Coenonympha_californica",14,14,0,3,3,0,"generalist","generalist","generalist","Goatgrass_2024_spring"
"Cyrtopogon_sp.",8,8,0,3,3,0,"generalist","generalist","generalist","Goatgrass_2024_spring"
"Elateridae",1,1,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2024_spring"
"Eucera_actuosa",15,11,4,2,1,1,"generalist","specialist","specialist","Goatgrass_2024_spring"
"Euopeodes_fumipennis",2,2,0,1,1,0,"specialist","specialist","generalist","Goatgrass_2024_spring"
"Glaucophysche_lygdamus",1,0,1,1,0,1,"specialist","generalist","specialist","Goatgrass_2024_spring"
"Heliolonche_modiella",7,7,0,2,2,0,"generalist","generalist","generalist","Goatgrass_2024_spring"
"Helithodes_dimutiva",13,13,0,3,3,0,"generalist","generalist","generalist","Goatgrass_2024_spring"
